  0.40800000E+01 -0.15573653E-04  0.25932008E-04
  0.40900000E+01 -0.15512374E-04  0.25696242E-04
  0.41000000E+01 -0.15386260E-04  0.25476440E-04
  0.41100000E+01 -0.15205129E-04  0.25281461E-04
  0.41200000E+01 -0.14980649E-04  0.25115812E-04
  0.41300000E+01 -0.14725687E-04  0.24980399E-04
  0.41400000E+01 -0.14453613E-04  0.24873446E-04
  0.41500000E+01 -0.14177615E-04  0.24791418E-04
  0.41600000E+01 -0.13910064E-04  0.24729833E-04
  0.41700000E+01 -0.13661957E-04  0.24683909E-04
  0.41800000E+01 -0.13442477E-04  0.24649024E-04
  0.41900000E+01 -0.13258678E-04  0.24621007E-04
  0.42000000E+01 -0.13115306E-04  0.24596295E-04
  0.42100000E+01 -0.13014752E-04  0.24571986E-04
  0.42200000E+01 -0.12957137E-04  0.24545822E-04
  0.42300000E+01 -0.12940501E-04  0.24516133E-04
  0.42400000E+01 -0.12961081E-04  0.24481759E-04
  0.42500000E+01 -0.13013652E-04  0.24441970E-04
  0.42600000E+01 -0.13091910E-04  0.24396378E-04
  0.42700000E+01 -0.13188858E-04  0.24344866E-04
  0.42800000E+01 -0.13297191E-04  0.24287524E-04
  0.42900000E+01 -0.13409643E-04  0.24224594E-04
  0.43000000E+01 -0.13519296E-04  0.24156422E-04
  0.43100000E+01 -0.13619830E-04  0.24083427E-04
  0.43200000E+01 -0.13705713E-04  0.24006073E-04
  0.43300000E+01 -0.13772330E-04  0.23924846E-04
  0.43400000E+01 -0.13816051E-04  0.23840242E-04
  0.43500000E+01 -0.13834245E-04  0.23752756E-04
  0.43600000E+01 -0.13825255E-04  0.23662882E-04
  0.43700000E+01 -0.13788322E-04  0.23571112E-04
  0.43800000E+01 -0.13723495E-04  0.23477950E-04
  0.43900000E+01 -0.13631519E-04  0.23383938E-04
  0.44000000E+01 -0.13513716E-04  0.23289699E-04
  0.44100000E+01 -0.13372447E-04  0.23195955E-04
  0.44200000E+01 -0.13220532E-04  0.23102858E-04
  0.44300000E+01 -0.13088136E-04  0.23002340E-04
  0.44400000E+01 -0.12904329E-04  0.22870874E-04
  0.44500000E+01 -0.12633682E-04  0.22761254E-04
  0.44600000E+01 -0.12382382E-04  0.22668406E-04
