  0.32000000E+01  0.19348126E+04  0.18626384E+04
  0.32100000E+01  0.19334828E+04  0.18657302E+04
  0.32200000E+01  0.19322697E+04  0.18689306E+04
  0.32300000E+01  0.19312375E+04  0.18722490E+04
  0.32400000E+01  0.19304475E+04  0.18757026E+04
  0.32500000E+01  0.19299514E+04  0.18793188E+04
  0.32600000E+01  0.19297832E+04  0.18831360E+04
  0.32700000E+01  0.19299518E+04  0.18872057E+04
  0.32800000E+01  0.19304336E+04  0.18915924E+04
  0.32900000E+01  0.19311665E+04  0.18963712E+04
  0.33000000E+01  0.19320442E+04  0.19016207E+04
  0.33100000E+01  0.19329127E+04  0.19074098E+04
  0.33200000E+01  0.19335679E+04  0.19137807E+04
  0.33300000E+01  0.19337551E+04  0.19207372E+04
  0.33400000E+01  0.19331740E+04  0.19282474E+04
  0.33500000E+01  0.19314899E+04  0.19362626E+04
  0.33600000E+01  0.19283545E+04  0.19447353E+04
  0.33700000E+01  0.19234362E+04  0.19536170E+04
  0.33800000E+01  0.19164584E+04  0.19628275E+04
  0.33900000E+01  0.19072389E+04  0.19722162E+04
  0.34000000E+01  0.18957234E+04  0.19815492E+04
  0.34100000E+01  0.18820043E+04  0.19905477E+04
  0.34200000E+01  0.18663186E+04  0.19989609E+04
  0.34300000E+01  0.18490236E+04  0.20066256E+04
  0.34400000E+01  0.18305550E+04  0.20134835E+04
  0.34500000E+01  0.18113748E+04  0.20195634E+04
  0.34600000E+01  0.17919187E+04  0.20249496E+04
  0.34700000E+01  0.17725543E+04  0.20297501E+04
  0.34800000E+01  0.17535544E+04  0.20340731E+04
  0.34900000E+01  0.17350875E+04  0.20380121E+04
  0.35000000E+01  0.17172246E+04  0.20416406E+04
  0.35100000E+01  0.16999571E+04  0.20450117E+04
  0.35200000E+01  0.16832195E+04  0.20481619E+04
  0.35300000E+01  0.16669135E+04  0.20511156E+04
  0.35400000E+01  0.16509284E+04  0.20538890E+04
  0.35500000E+01  0.16351568E+04  0.20564927E+04
  0.35600000E+01  0.16195045E+04  0.20589343E+04
  0.35700000E+01  0.16038962E+04  0.20612189E+04
  0.35800000E+01  0.15882763E+04  0.20633499E+04
  0.35900000E+01  0.15726078E+04  0.20653292E+04
  0.36000000E+01  0.15568700E+04  0.20671574E+04
  0.36100000E+01  0.15410546E+04  0.20688340E+04
  0.36200000E+01  0.15251628E+04  0.20703579E+04
  0.36300000E+01  0.15092018E+04  0.20717274E+04
  0.36400000E+01  0.14931832E+04  0.20729407E+04
  0.36500000E+01  0.14771202E+04  0.20739960E+04
  0.36600000E+01  0.14610274E+04  0.20748920E+04
  0.36700000E+01  0.14449190E+04  0.20756280E+04
  0.36800000E+01  0.14288089E+04  0.20762037E+04
  0.36900000E+01  0.14127107E+04  0.20766195E+04
  0.37000000E+01  0.13966373E+04  0.20768758E+04
  0.37100000E+01  0.13806012E+04  0.20769735E+04
  0.37200000E+01  0.13646146E+04  0.20769129E+04
  0.37300000E+01  0.13486897E+04  0.20766937E+04
  0.37400000E+01  0.13328386E+04  0.20763143E+04
  0.37500000E+01  0.13170738E+04  0.20757712E+04
  0.37600000E+01  0.13014078E+04  0.20750579E+04
  0.37700000E+01  0.12858535E+04  0.20741641E+04
  0.37800000E+01  0.12704239E+04  0.20730742E+04
  0.37900000E+01  0.12551321E+04  0.20717646E+04
  0.38000000E+01  0.12399910E+04  0.20702013E+04
  0.38100000E+01  0.12250130E+04  0.20683340E+04
  0.38200000E+01  0.12102119E+04  0.20660876E+04
  0.38300000E+01  0.11956623E+04  0.20633527E+04
  0.38400000E+01  0.11818630E+04  0.20600170E+04
  0.38500000E+01  0.11687935E+04  0.20563123E+04
  0.38600000E+01  0.11542735E+04  0.20516031E+04
  0.38700000E+01  0.11441188E+04  0.20445951E+04
  0.38800000E+01  0.11512735E+04  0.20372239E+04
  0.38900000E+01  0.11724149E+04  0.20392384E+04
  0.39000000E+01  0.12198650E+04  0.20584133E+04
  0.39100000E+01  0.11655177E+04  0.21055405E+04
  0.39200000E+01  0.10800317E+04  0.21007483E+04
  0.39300000E+01  0.10601600E+04  0.20897183E+04
  0.39400000E+01  0.10474625E+04  0.20815823E+04
  0.39500000E+01  0.10349811E+04  0.20753931E+04
  0.39600000E+01  0.10226170E+04  0.20703444E+04
  0.39700000E+01  0.10103636E+04  0.20659919E+04
  0.39800000E+01  0.99822229E+03  0.20620887E+04
  0.39900000E+01  0.98618543E+03  0.20584935E+04
  0.40000000E+01  0.97420464E+03  0.20551263E+04
  0.40100000E+01  0.96221538E+03  0.20519154E+04
  0.40200000E+01  0.95021174E+03  0.20487735E+04
  0.40300000E+01  0.93824136E+03  0.20456567E+04
  0.40400000E+01  0.92633320E+03  0.20425428E+04
  0.40500000E+01  0.91448205E+03  0.20394055E+04
  0.40600000E+01  0.90267907E+03  0.20362171E+04
  0.40700000E+01  0.89092657E+03  0.20329521E+04
  0.40800000E+01  0.87923562E+03  0.20295883E+04
  0.40900000E+01  0.86762228E+03  0.20261085E+04
  0.41000000E+01  0.85610599E+03  0.20225000E+04
  0.41100000E+01  0.84470883E+03  0.20187554E+04
  0.41200000E+01  0.83345485E+03  0.20148716E+04
  0.41300000E+01  0.82236947E+03  0.20108497E+04
  0.41400000E+01  0.81147873E+03  0.20066941E+04
  0.41500000E+01  0.80080865E+03  0.20024116E+04
  0.41600000E+01  0.79038457E+03  0.19980108E+04
  0.41700000E+01  0.78023055E+03  0.19935016E+04
  0.41800000E+01  0.77036881E+03  0.19888941E+04
  0.41900000E+01  0.76081929E+03  0.19841986E+04
  0.42000000E+01  0.75159930E+03  0.19794254E+04
  0.42100000E+01  0.74272328E+03  0.19745841E+04
  0.42200000E+01  0.73420261E+03  0.19696838E+04
  0.42300000E+01  0.72604562E+03  0.19647330E+04
  0.42400000E+01  0.71825761E+03  0.19597396E+04
  0.42500000E+01  0.71084101E+03  0.19547108E+04
  0.42600000E+01  0.70379556E+03  0.19496531E+04
  0.42700000E+01  0.69711855E+03  0.19445725E+04
  0.42800000E+01  0.69080517E+03  0.19394747E+04
  0.42900000E+01  0.68484879E+03  0.19343647E+04
  0.43000000E+01  0.67924127E+03  0.19292470E+04
  0.43100000E+01  0.67397331E+03  0.19241261E+04
  0.43200000E+01  0.66903475E+03  0.19190057E+04
  0.43300000E+01  0.66441483E+03  0.19138895E+04
  0.43400000E+01  0.66010246E+03  0.19087808E+04
  0.43500000E+01  0.65608643E+03  0.19036826E+04
  0.43600000E+01  0.65235560E+03  0.18985974E+04
  0.43700000E+01  0.64889902E+03  0.18935274E+04
  0.43800000E+01  0.64570607E+03  0.18884742E+04
  0.43900000E+01  0.64276655E+03  0.18834384E+04
  0.44000000E+01  0.64007076E+03  0.18784192E+04
  0.44100000E+01  0.63761668E+03  0.18734140E+04
  0.44200000E+01  0.63552579E+03  0.18684268E+04
  0.44300000E+01  0.63412811E+03  0.18635610E+04
  0.44400000E+01  0.63252468E+03  0.18591075E+04
  0.44500000E+01  0.63024774E+03  0.18544294E+04
  0.44600000E+01  0.62855046E+03  0.18495929E+04
  0.44700000E+01  0.62730271E+03  0.18447989E+04
  0.44800000E+01  0.62626048E+03  0.18400639E+04
  0.44900000E+01  0.62539475E+03  0.18353849E+04
  0.45000000E+01  0.62469929E+03  0.18307599E+04
  0.45100000E+01  0.62416856E+03  0.18261879E+04
  0.45200000E+01  0.62379721E+03  0.18216694E+04
  0.45300000E+01  0.62358009E+03  0.18172048E+04
  0.45400000E+01  0.62351221E+03  0.18127952E+04
  0.45500000E+01  0.62358871E+03  0.18084416E+04
  0.45600000E+01  0.62380491E+03  0.18041450E+04
  0.45700000E+01  0.62415621E+03  0.17999066E+04
  0.45800000E+01  0.62463818E+03  0.17957274E+04
  0.45900000E+01  0.62524652E+03  0.17916084E+04
  0.46000000E+01  0.62597703E+03  0.17875505E+04
  0.46100000E+01  0.62682568E+03  0.17835547E+04
  0.46200000E+01  0.62778855E+03  0.17796216E+04
  0.46300000E+01  0.62886188E+03  0.17757519E+04
  0.46400000E+01  0.63004204E+03  0.17719461E+04
  0.46500000E+01  0.63132554E+03  0.17682046E+04
  0.46600000E+01  0.63270902E+03  0.17645277E+04
  0.46700000E+01  0.63418927E+03  0.17609155E+04
  0.46800000E+01  0.63576317E+03  0.17573681E+04
  0.46900000E+01  0.63742773E+03  0.17538855E+04
  0.47000000E+01  0.63918005E+03  0.17504676E+04
  0.47100000E+01  0.64101731E+03  0.17471144E+04
  0.47200000E+01  0.64293675E+03  0.17438258E+04
  0.47300000E+01  0.64493565E+03  0.17406015E+04
  0.47400000E+01  0.64701130E+03  0.17374415E+04
  0.47500000E+01  0.64916100E+03  0.17343457E+04
  0.47600000E+01  0.65138195E+03  0.17313140E+04
  0.47700000E+01  0.65367126E+03  0.17283463E+04
  0.47800000E+01  0.65602583E+03  0.17254425E+04
  0.47900000E+01  0.65844240E+03  0.17226025E+04
  0.48000000E+01  0.66091753E+03  0.17198262E+04
  0.48100000E+01  0.66344768E+03  0.17171134E+04
  0.48200000E+01  0.66602930E+03  0.17144635E+04
  0.48300000E+01  0.66865886E+03  0.17118762E+04
  0.48400000E+01  0.67133279E+03  0.17093511E+04
